# TESS Program G03059

Title: Mitigating The Unknown Physics Of Massive Star Evolution With Asteroseismology

PI: Bowman, Dominic - Katholieke Universiteit Leuven

Type: SMALL

Summary: Massive stars are important metal factories in the Universe and progenitors of core-collapse supernovae. However, a major shortcoming of stellar evolution models is their large uncertainties for interior rotation and convective core overshooting. This is because we lack detailed observational constraints on massive star interiors. Fortunately, most massive stars pulsate in gravity and pressure modes, which are extremely sensitive to a star's interior physics. The TESS mission is providing the first long-term and high-precision photometric data set for a large sample of massive stars. In this project, asteroseismology applied to 2-min TESS light curves will allow us to mitigate these large uncertainties currently in stellar evolution theory.


# Sector 027 targets observed (2 min: 346, 20 s: 5)
31105684,76.4749,-68.1807,12.12,G03059
31105740,76.363,-68.1674,12.36,G03059
31178354,76.7567,-67.6249,12.51,G03059
31179797,76.8591,-68.122,12.72,G03059
31180464,76.7949,-68.3015,13.12,G03059
31181095,76.8063,-68.4364,13.34,G03059
31181424,76.6145,-68.5112,11.65,G03059;G03095
31181554,76.8351,-68.5357,10.73,G03059
370038084,60.6062,-70.2721,8.49,G03059
373531782,80.811,-67.4345,12.38,G03059
373598194,81.0573,-66.4247,12.44,G03059
373843852,81.5634,-67.5,10.77,G03059
373843860,81.5862,-67.4988,11.47,G03059
373843872,81.5361,-67.496,13.03,G03059
373845622,81.5624,-66.6673,12.42,G03059
38602305,64.4179,-63.2552,6.16,G03059;G03252
391745571,82.5621,-66.9819,12.21,G03059
391745744,82.6526,-67.051,12.7,G03059
391746008,82.8248,-67.157,11.59,G03059;G03095
391746141,82.6923,-67.2051,12.88,G03059
391746189,82.6076,-67.2218,12.56,G03059
391746326,82.6684,-67.2691,12.18,G03059
391746328,82.7319,-67.2712,12.11,G03059
391746343,82.6672,-67.2772,12.43,G03059
391746578,82.7657,-67.3557,12.98,G03059
