# TESS Program G03252

Title: TESS High-Frequency A-F Pulsators: Understanding The Driving Of Oscillations In Intermediate-Mass Stars

PI: Hambleton, Kelly - Villanova University

Type: LARGE

Summary: Delta Scuti and roAp stars are classes of pulsators sharing the same region of the HR diagram. For decades their pulsations were thought to have different origins, but data from TESS revealed an apparent overlap in their pulsation properties questioning our understanding of the excitation mechanisms at work. We propose to: 1) characterize the statistical distributions of the scaled pulsation frequencies in these pulsators, including the determination of the so far unknown high-frequency end of the roAp star phenomena and; 2) establish whether hybrid delta Scuti-roAp stars exist. These results, which will be key to advance our understanding of the origin of the pulsation in this region of the HR diagram, can now be achieved thanks to the survey-nature of TESS and its 20-sec cadence mode.


# Sector 027 targets observed (2 min: 288, 20 s: 26)
234548714,17.018,-61.8717,7.22,G03255;G03252
237881239,19.5954,-64.63,9.35,G03255;G03252
469973124,3.1262,-64.2695,9.65,G03252
631474881,24.7339,-58.5801,8.57,G03255;G03252
631474882,24.7341,-58.5795,8.81,G03255;G03252
260751881,346.4388,-67.3175,11.21,G03255;G03252
261563350,349.8533,-77.6067,9.29,G03255;G03252
266905315,1.1427,-73.8529,8.72,G03255;G03252
277835735,344.7578,-68.0517,9.53,G03252
38847248,8.3486,-71.2663,5.85,G03255;G03252
229810275,44.7057,-73.7855,9.04,G03252
238226832,58.8621,-72.3416,9.3,G03252
24693092,34.7212,-75.4494,9.41,G03252
267094416,41.6673,-77.521,8.52,G03251;G03252
269857335,70.5638,-83.0968,9.3,G03252
299802315,59.6478,-74.7465,9.69,G03252
348717688,45.1534,-81.9021,9.12,G03223;G03252;20SECONDTARGET
348762920,46.8863,-78.9888,5.41,G03255;G03252
348772511,47.4738,-83.5314,7.26,G03255;G03252
431380369,49.0335,-73.5488,7.82,G03252;20SECONDTARGET
431589510,50.6912,-72.6294,11.89,G03252
232073911,28.2914,-66.8742,10.32,G03252
31926807,53.7003,-70.0534,11.2,G03252
381204905,30.8487,-65.5134,9.55,G03252
149037112,78.3994,-61.0782,9.94,G03255;G03252
149247623,82.1953,-64.9122,9.96,G03252
149304495,83.3653,-64.4183,9.1,G03252
179246511,79.7948,-68.581,9.7,G03252
179438643,80.1141,-67.5098,10.35,G03255;G03252
179638690,80.5952,-67.3692,11.06,G03252
231744384,78.2222,-67.7434,9.66,G03252
237936374,59.3246,-63.1724,10.32,G03252
25195864,63.7537,-69.5367,10.46,G03255;G03252
276863693,83.68,-66.9023,9.66,G03252
287298969,82.3553,-66.439,7.88,G03255;G03252
30316134,74.3836,-68.019,11.07,G03252
30531417,74.8072,-69.5951,11.12,G03204;G03252;G03169
31105402,76.377,-68.2561,9.77,G03252
373598109,81.1989,-66.3993,10.95,G03252
373846934,81.3606,-66.1027,9.12,G03252
38586082,64.0879,-60.9484,6.31,G03252
38586127,64.1214,-61.0837,9.79,G03252
38587180,64.1641,-64.3154,7.7,G03255;G03252
38587771,64.141,-65.9113,8.26,G03252
38602305,64.4179,-63.2552,6.16,G03059;G03252
38635760,65.3148,-64.1808,10.71,G03255;G03252
55271188,76.2756,-60.1366,10.05,G03252
55526343,72.4981,-63.1649,9.06,G03252
141026903,78.853,-73.5884,6.37,G03252
141480176,86.7837,-74.7702,9.33,G03252
141757920,91.6359,-73.0225,9.97,G03251;G03252
142145534,99.8065,-75.5088,8.8,G03255;G03252
177284702,102.3764,-75.4495,9.51,G03252
179120455,79.0108,-70.4561,8.38,G03255;G03252
179124163,79.4561,-71.9236,9.7,G03252
271597440,108.5822,-77.0506,10.94,G03252
271721765,110.4408,-75.3518,8.55,G03252
319289587,71.8944,-79.8072,7.95,G03255;G03252
389925842,87.7242,-71.9667,9.83,G03255;G03252
407661867,83.0771,-72.8325,8.25,G03252
41174274,91.3655,-70.4627,9.37,G03252
41227922,91.5849,-69.2584,8.72,G03255;G03252
41256025,91.9405,-69.1563,11.14,G03252
41259805,92.1221,-71.1199,8.84,G03255;G03252;20SECONDTARGET
516627014,71.8953,-79.8072,7.95,G03255;G03252
167601581,102.0418,-63.4443,9.98,G03252
167602316,102.0469,-61.9399,3.04,G03252;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
167695608,102.9257,-63.4304,11.69,G03255;G03252;20SECONDTARGET
167718227,103.0906,-62.6681,10.64,G03255;G03252
167751145,103.9712,-64.9971,9.74,G03252
177080157,103.3169,-66.3443,9.75,G03255;G03252
271892200,112.9318,-72.0045,8.98,G03252
272468825,120.8751,-71.9724,10.13,G03251;G03252
300035977,107.52,-67.3506,9.6,G03252
300038935,107.8437,-68.8333,9.1,G03278;G03255;G03068;G03252;20SECONDTARGET
306634577,120.0751,-70.1815,8.65,G03252
306672432,120.5929,-67.7948,8.6,G03059;G03252
306736789,120.8389,-66.839,8.3,G03255;G03252
307091504,123.7101,-69.6226,7.71,G03252
307364125,125.2699,-66.3359,10.23,G03255;G03252
307441126,126.2327,-66.6521,9.93,G03255;G03252
308396022,120.2598,-63.675,11.07,G03252
348895477,105.7786,-64.1576,11.36,G03252
349056430,107.4061,-62.3047,8.2,G03252
349409806,110.3716,-61.9925,8.1,G03252
349972600,114.4733,-62.3051,9.09,G03252
350031852,115.1523,-60.1361,10.41,G03252
350138845,115.1911,-60.6407,10.68,G03252
350146296,115.7396,-63.7019,9.17,G03132;G03255;G03252;20SECONDTARGET
358511856,119.1586,-65.6138,8.78,G03252
364399376,119.761,-61.5834,7.18,G03255;G03252
382436277,117.1425,-64.8224,8.16,G03255;G03252
382572536,118.3122,-64.6984,9.24,G03252
391892593,115.455,-68.0283,9.35,G03251;G03252;20SECONDTARGET
410486022,120.0228,-63.4882,9.34,G03255;G03252
149218335,82.0678,-60.2921,10.26,G03255;G03252
149574542,86.7113,-63.2719,9.09,G03252
149630824,87.7289,-60.8803,10.28,G03255;G03252
149933253,89.9134,-65.4468,9.05,G03252
150101501,92.0443,-63.3077,9.5,G03255;G03252
150272131,94.7069,-63.0107,10.16,G03255;G03252
150394126,96.9526,-62.1498,6.54,G03252
219206327,92.8162,-53.4107,8.87,G03252
238932352,94.8148,-52.9178,9.8,G03252
255559687,95.9206,-53.0797,10.47,G03255;G03252
260078159,91.9914,-55.3983,11.01,G03252
260161111,92.8439,-58.3568,10.62,G03255;G03252
