# TESS Program G03251

Title: Asteroseismology Of Solar-Type Stars With TESS

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: LARGE

Summary: Asteroseismology is one of the most powerful methods to determine fundamental properties of solar-type stars. However, the currently known sample of stars with asteroseismic detections is small, and many of them are too faint to have the independent constraints necessary to constrain poorly understood stellar interior physics such as convection. Here we propose 2-minute and 20-second cadence observations for the TESS Asteroseismic Science Consortium (TASC) that will double the Cycle 1 asteroseismic yield of solar-type stars, allowing us to (i) establish the first catalog of asteroseismic benchmark stars in the southern ecliptic hemisphere, (ii) probe the physics of stellar convection in solar-type stars and (iii) investigate the efficiency of convective mode excitation for hot stars.


# Sector 027 targets observed (2 min: 4573, 20 s: 42)
114813597,304.1652,-37.2051,9.86,G03251
114813871,304.1925,-37.5571,8.46,G03251
114813900,304.0734,-37.6007,8.7,G03251
114856007,304.2871,-36.9902,10.96,G03251
114856482,304.3255,-36.426,10.82,G03251
152166384,307.4587,-34.7415,9.05,G03251
152167796,307.5159,-34.6915,8.76,G03251
152623308,304.2279,-32.607,7.19,G03251
152624787,304.1102,-35.1982,6.16,G03251
152625085,304.1287,-35.6849,8.93,G03251
152694235,304.4416,-33.9754,8.33,G03251
152709696,304.605,-35.3919,10.07,G03251
152714080,304.6413,-31.6975,10.98,G03251
152714164,304.667,-31.5566,10.55,G03251
152746198,304.9061,-31.7295,6.97,G03251
152797900,305.0607,-34.5856,6.1,G03251
164084553,303.9557,-28.2054,8.48,G03251
164163106,304.1417,-27.5684,9.95,G03251
164163109,304.1052,-27.5645,10.05,G03251
164250471,304.4958,-28.1332,8.24,G03251
164284896,304.54,-28.3677,9.29,G03251
164286316,304.6689,-29.6985,11.38,G03251
164328543,304.7724,-29.7021,8.53,G03251
164385594,305.1757,-27.049,8.6,G03251
164404746,305.4893,-29.0917,8.99,G03251
164446873,305.4935,-26.1908,8.8,G03251
164454128,305.7359,-29.1521,8.38,G03251
164454675,305.6934,-28.4029,10.07,G03251
164544018,306.039,-28.0052,8.89,G03251
164551146,306.1518,-28.7493,8.74,G03251
164551443,306.219,-29.1255,11.32,G03251
211302526,300.0551,-30.6776,8.98,G03251
212261751,308.8884,-27.9819,8.63,G03251
212262393,308.9776,-26.7733,6.78,G03251
212289739,309.2015,-25.5319,9.95,G03251
212292529,309.3142,-27.0565,10.31,G03251;G03212
212296912,309.4681,-25.1094,6.03,G03251
212298857,309.6697,-25.8122,9.9,G03251
212299480,309.5604,-26.8786,9.99,G03251
212319204,309.7615,-28.4254,7.45,G03227;G03251
212352650,310.4449,-28.7617,7.2,G03251
212357737,311.1164,-27.0517,8.48,G03251
269530331,301.8053,-36.4246,10.23,G03251
269583733,301.7675,-36.8142,10.53,G03251
269590394,301.8235,-37.5607,10.16,G03251
269590900,301.9314,-36.8715,9.42,G03251
269716804,302.3461,-36.5054,7.47,G03251
269716856,302.3868,-36.5708,9.98,G03251
269771180,308.456,-29.2926,6.74,G03255;G03251
269944861,311.2613,-29.7026,10.15,G03251
269995013,311.5236,-25.2718,3.75,G03156;G03255;G03227;G03251;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
269996927,311.4589,-28.5691,10.36,G03251
270034306,311.6141,-26.8688,6.61,G03251
270037978,311.7151,-26.9884,9.27,G03251
270038099,311.6878,-27.1829,7.55,G03251
270038646,311.6874,-28.2896,9.07,G03251
270067012,311.8191,-27.6985,7.45,G03251
278275140,302.9227,-31.9114,9.47,G03251
278320517,303.223,-34.9092,10.89,G03251
278321649,303.1324,-33.3454,9.46,G03251
