# TESS Program G04103

Title: A Survey Of Oscillations And Granulation In Evolved Solar-Type Stars

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: LARGE

Summary: Brightness variations in high-precision light curves encode powerful information about fundamental properties and convective processes in solar-type stars through oscillations and granulation. However, the current sample of stars with detected oscillations and granulation is focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to measure oscillations and granulation in evolved solar-type stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 040 targets observed (2 min: 3486, 20 s: 3)
158920800,270.1544,28.0544,9.86,G04103
158925525,270.1569,25.9086,8.83,G04103
159021756,270.6164,28.2562,9.81,G04103
159023290,270.5563,29.8291,10.21,G04103
159024667,270.7229,28.6189,9.73,G04103
159846144,269.1107,36.0911,8.47,G04103
159980446,270.1031,35.8965,10.94,G04103
180697644,272.0917,35.0204,8.8,G04103
180718195,272.2361,31.7707,8.76,G04103
180721179,272.2617,35.1751,9.34,G04103
180763507,272.5111,30.84,7.4,G04103
180768897,272.6138,35.1715,6.57,G04103
180770456,272.6006,33.4032,9.1,G04103
180806572,273.126,35.5604,7.87,G04103
180888935,273.5114,33.3649,9.45,G04103
180890613,273.5203,31.5403,7.21,G04103
180894070,273.6644,31.5849,8.59,G04103
180896397,273.6805,33.2022,9.85,G04103
180922079,273.7171,30.8362,10.0,G04103
180941641,273.8941,34.1437,9.57,G04103
22129510,269.5206,32.6479,6.23,G04219;G04103;G04209
22225741,270.029,33.4651,9.68,G04103
22309070,270.3186,32.8271,9.34,G04103
22333582,270.7331,30.3512,7.59,G04103
22333801,270.6442,30.5561,6.18,G04103
22338057,271.2331,35.8157,9.62,G04103
22340923,271.2446,32.1914,9.6,G04103
22415797,271.4273,32.2769,8.92,G04103
22418237,271.3886,35.1574,9.47,G04103
22418246,271.4019,35.1721,9.45,G04103
22472466,271.6087,30.2381,9.47,G04103
23000523,274.1094,35.0383,10.82,G04103
23176092,274.6021,33.241,8.92,G04103
23229904,274.8004,34.126,8.29,G04103
23232254,274.8754,35.736,8.52,G04103
23387203,275.1631,32.8458,10.34,G04103
23387814,275.1629,32.3533,8.99,G04103
23391645,275.2971,30.2379,10.13,G04103
23395123,275.2991,32.8774,7.07,G04209;G04103
23468099,275.5005,32.9147,8.11,G04103
23533338,275.6576,33.2559,7.83,G04103
235569719,270.2815,35.998,9.38,G04103
23572513,275.6989,30.1749,9.11,G04103
235734917,276.5169,29.6594,10.28,G04103
23576686,275.9242,32.1874,10.23,G04103
23583418,275.8387,34.8539,8.57,G04103
23990681,276.2542,32.3294,9.72,G04103
24059530,276.3885,31.0441,8.39,G04103
24109775,276.5808,33.4619,9.52,G04103
