# TESS Program G022171

Title: Confronting The Stellar Gyrochronology Paradigm Using Wide Binaries In The TESS Fields

PI: Oswalt, Terry - Embry-Riddle Aeronautical University

Type: SMALL

Summary: Essential to understanding the history of the Galaxy's stellar populations, ages are among the most difficult to measure properties of stars. Accurate ages provide leverage on problems ranging from exoplanet habitability to the Galaxy's chemical evolution and age. Gyrochronology, an empirical relation between rotation and age, is believed to be among the best current methods of stellar age determination. We propose to test several competing gyrochronology models using wide binaries in the TESS fields. Such pairs can help unravel and quantify the rotation-activity-metallicity vs. age relations for main sequence stars. They span a much broader range in age and metallicity than stellar clusters, which often have mixed populations and have lost low mass stars.


# Sector 014 targets observed (65)
441709021,216.2971,51.8486,3.55,G022133;G022103;G022032;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
141816675,205.1861,59.7149,8.69,G022171
141816678,205.1832,59.7286,8.63,G022171
441685079,211.6929,59.7711,9.12,G022171
441685082,211.7059,59.7594,8.79,G022171
148783703,219.3761,47.7177,9.54,G022171
67991916,218.2193,41.4462,8.32,G022171;G022103

# Sector 017 targets observed (72)
16875069,18.2869,29.6996,8.52,G022171
16875074,18.2902,29.6828,10.17,G022171
407341106,16.7885,38.6504,7.08,G022103;G022171
44633958,22.3654,30.8939,7.48,G022171
239551546,7.8572,33.5816,4.88,G022133;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
267624955,9.2203,33.7193,4.48,G022133;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
267869724,11.0708,31.398,8.49,G022171
267869732,11.0716,31.3827,7.97,G022062;G022171
283859631,2.2635,27.6524,10.46,G022171;G022238
283862303,2.007,31.391,6.97,G022171
283862309,2.0403,31.379,7.11,G022062;G022171
306120256,4.428,26.5121,10.45,G022171
427733653,2.0978,29.0895,2.07,G022133;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
437737143,2.8663,29.8191,9.72,G022238;G022171
437737149,2.8664,29.8152,9.47,G022171
243172434,16.4209,21.4731,5.33,G022133;G022171;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
243172438,16.4241,21.4654,5.63,G022133;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
303291179,11.922,12.8791,8.4,G022171
303291181,11.9323,12.872,8.66,G022171
434208109,9.6325,19.0571,10.27,G022171
353851099,24.7854,26.9355,8.74,G022171
381316671,22.2731,21.7222,6.82,G022038;G022171
85344310,29.0982,30.4484,8.75,G022171
201867974,2.7889,49.5466,8.12,G022161;G022171
201867995,2.7675,49.5586,8.6,G022171
285233646,12.415,60.759,7.57,G022103;G022171
332370382,19.5062,53.9168,7.99,G022171
449985248,6.5497,56.779,5.92,G022171
201523301,1.0009,49.6932,8.75,G022171;G022161
428040440,350.7709,45.01,8.15,G022171
428040448,350.8007,45.0035,8.99,G022171
431661850,358.3934,51.5226,5.92,G022171
115480178,7.4181,36.0749,9.04,G022171
194327621,2.4578,37.516,10.17,G022171
194327625,2.4436,37.5297,9.26,G022171
439942975,1.0744,42.5877,9.04,G022171
439942977,1.0765,42.5865,8.09,G022171
439949946,1.4279,45.8112,7.38,G022187;G022080;G022062;G022171;G022198
439949948,1.4275,45.8096,7.42,G022171
115864035,11.8222,38.6184,9.06,G022171
240897587,17.5305,51.7466,7.65,G022080;G022171
240897594,17.5293,51.7426,8.04,G022080;G022171
329759640,332.9556,56.8401,4.76,G022103;G022069;G022133;G022032;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
353863850,331.0537,59.8672,6.91,G022062;G022171
421714420,324.6907,55.7916,7.78,G022161;G022171
272541754,356.5309,60.4651,5.72,G022171
470684515,357.1626,64.8765,7.32,G022171
267863491,312.279,58.7477,6.95,G022103;G022171
366513886,302.1688,67.4694,9.62,G022171
366513907,302.1733,67.4966,9.36,G022171
229438448,293.292,60.1587,4.84,G022171
232644906,281.5613,56.4954,10.45,G022171
232644908,281.586,56.4966,10.01,G022171
365050367,298.3981,59.709,6.06,G022171
424438735,279.6006,63.533,5.89,G022171
420137493,291.7655,73.3454,9.57,G022171
441720075,254.7151,76.0989,9.77,G022171
441720079,254.6834,76.1093,9.08,G022171
441804565,265.4927,72.1554,5.29,G022103;G022053;G022133;G022032;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
441804568,265.4848,72.1474,4.12,G022030;G022133;G022103;G022032;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
230073581,244.171,67.2393,6.97,G022187;G022198;G022080;G022238;G022053;G022171
230115444,249.2464,69.8219,7.71,G022171
230115455,249.1621,69.7933,7.62,G022171
230117419,249.4598,69.3062,9.94,G022171
188694195,260.5388,53.8542,9.24,G022171
188694197,260.5103,53.8506,8.88,G022171
198389350,258.2761,54.1397,6.62,G022171
229686919,263.0682,55.1732,4.61,G022133;G022171;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
229686929,263.0455,55.1845,4.66,G022133;G022171;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
233052719,269.0831,62.6106,7.13,G022030;G022099;G022080;G022171
389917321,275.9767,58.8021,7.45,G022171
389917323,275.9771,58.8011,5.03,G022133;G022171;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
