# TESS Program G04211

Title: Constraining The Low-Mass End Of The Stellar Mass Function With TESS

PI: Marocco, Federico - California Institute Of Technology

Type: SMALL

Summary: We will constrain the functional form of the low-mass end of the stellar mass function using TESS 2-min cadence data for 2666 objects within 20 pc of the Sun, 679 of which are the targets of this proposal. The light curves will be used to search for overlooked stellar and substellar companions through identification and analysis of eclipsing binaries, transiting companions, and composite light curves. By including the 679 objects proposed here to the list of 2-min cadence targets, TESS will provide 2-min cadence data for ~74% of objects within 20 pc of the Sun.


# Sector 040 targets observed (2 min: 57, 20 s: 16)
397356212,70.733,21.4738,9.5,G04214;G04186;G04211;G04039;G04191;G04006
60878053,66.4733,12.1953,14.93,G04200;G04137;G04211
61258139,68.3945,20.7441,11.52,G04033;G04214;G04211;G04148;20SECONDTARGET
673682885,67.6044,17.4963,19.75,G04211
69051805,75.3247,22.6148,12.1,G04033;G04214;G04211;G04148;G04147;20SECONDTARGET
81192866,91.9103,24.4977,18.25,G04211
307809773,99.2901,17.5669,7.9,G04211;G04191
415563103,91.6679,15.5415,6.01,G04211;G04191
430044614,96.1757,23.43,10.34,G04033;G04214;G04211;G04148;G04147;20SECONDTARGET
430173956,96.5419,18.756,5.86,G04211;G04148
430221473,96.642,20.5371,12.12,G04214;G04211
438503489,100.4287,12.4454,12.06,G04214;G04211
720287836,89.7234,21.3478,15.41,G04211
14711043,111.826,17.167,15.74,G04211
184842719,110.0305,21.9822,3.16,G04211;G04125;G04103;G04147
58998044,104.8759,19.3434,11.25,G04033;G04214;G04211;G04148;20SECONDTARGET
60105117,106.1437,16.9563,12.35,G04236;G04214;G04211
70464931,114.7122,18.4879,12.84,G04214;G04211
155753765,109.0821,27.1413,8.54,G04186;G04211;G04039;G04006
165098841,105.1536,31.9537,16.58,G04211
239137106,112.2585,31.9949,6.86,G04211;G04191
239187687,113.6494,31.8883,9.09,G04123;G04211
415692633,109.0744,33.1502,11.54,G04214;G04236;G04211
423088367,116.3247,28.0259,0.44,G04211
80226651,103.8275,25.3758,5.2,G04104;G04211;G04191;20SECONDTARGET
95077478,114.6219,24.0018,10.51,G04214;G04186;G04211;G04039
14604618,126.3294,21.263,19.35,G04211
171523537,120.1327,29.2053,6.28,G04211
302188141,125.016,27.2154,4.66,G04104;G04211;20SECONDTARGET
386825419,120.4308,23.7068,9.08,G04211;G04006
95618424,121.4938,26.2813,8.52,G04211;G04039;G04191;G04006
16227031,115.277,17.6428,14.33,G04139;G04214;G04211;20SECONDTARGET
17773418,118.1008,16.202,13.15,G04214;G04211
27679101,123.647,13.0234,7.62,G04059;G04211;G04188;G04191
293253336,118.7259,19.2336,6.87,G04211;G04191
334415465,122.9965,8.7421,10.06,G04033;G04211;G04148;G04178;20SECONDTARGET
62854893,116.6746,20.0087,14.85,G04211
62945931,117.0777,20.3621,9.48,G04214;G04211;G04191;G04006
6890618,125.4839,17.8165,12.66,G04214;G04211
70628738,115.5054,20.9222,16.75,G04211
175241408,130.1257,18.3987,16.95,G04211
21246336,129.2824,15.1239,9.58,G04211;G04188;G04006
283745924,134.2693,11.645,8.67,G04211;G04039;G04191
437041669,134.0811,12.6623,11.36,G04139;G04033;G04214;G04211;G04039;20SECONDTARGET
437059375,135.322,15.2638,7.96,G04211
444041321,134.9162,11.7585,15.82,G04211
800279880,132.6759,7.8641,8.38,G04211
800306991,130.6872,9.5533,11.45,G04211
149396581,139.473,28.5575,6.26,G04211
197251248,134.5579,19.7628,10.6,G04033;G04186;G04211;G04212;20SECONDTARGET
203225829,135.0947,21.8311,11.74,G04139;G04212;G04033;G04214;G04211;G04148;G04188;20SECONDTARGET
840368130,140.0861,26.7323,19.54,G04211

# Sector 040 targets observed (2 min: 57, 20 s: 16)
1713909191,287.1253,32.28,19.6,G04211
1859784936,294.3061,27.7206,19.41,G04211
1860645323,291.2863,28.3545,18.97,G04211
1686869255,277.1287,26.839,19.11,G04211
1687798920,271.1428,31.2845,20.47,G04211
22516402,271.7559,30.5624,4.56,G04104;G04211;20SECONDTARGET
313988572,273.2789,26.0308,10.61,G04132;G04214;G04211;G04039;G04191;20SECONDTARGET
85262898,275.8675,28.1667,10.02,G04214;G04186;G04211
156746159,275.3687,14.2321,17.22,G04211
1804524738,282.9644,16.5854,16.73,G04211
1804860181,282.216,17.4379,18.6,G04211
282038438,281.4155,20.5443,3.77,G04211;G04103
286879253,274.2744,13.4669,15.03,G04137;G04200;G04211
317177585,280.294,24.7879,9.35,G04214;G04033;G04211;G04188;G04006;20SECONDTARGET
406883293,274.01,13.9104,8.54,G04211;G04191;G04006
1808841901,288.6654,19.3044,18.09,G04211
1808841920,288.6652,19.3155,18.98,G04211
1811570378,286.8014,20.8771,20.31,G04211
369794540,292.1732,23.9338,14.9,G04211
384491142,286.7701,20.8859,8.7,G04214;G04211;G04006
395665726,287.4649,17.6667,14.18,G04211
233688184,275.3345,61.0145,14.81,G04137;G04200;G04211;20SECONDTARGET
359676790,280.679,59.6411,6.72,G04142;G04211;G04148;G04188;20SECONDTARGET
