# TESS Program G011154

Title: Eclipsing Binary Stars: Indispensable Astrophysical Laboratories

PI: Prsa, Andrej - Villanova University

Type: N/A

Summary: Eclipsing binary (EB) science has long held renown for delivering accurate measurements of fundamental parameters: masses, radii, luminosities and temperatures. The field witnessed exponential growth in the Kepler era of ultra-high photometric precision, and the impact of TESS will be no less revolutionary. This multi-faceted proposal encapsulates three goals: (1) extract all known EB light curves from Full Frame Images (FFIs); (2) mine FFIs for as-of-yet unknown calibration-quality EBs, where simulations predict a 10-fold increase in the number of known EBs; and (3) acquire 2-min cadence observations for a prioritized list of targets that maximize scientific yield. The proposal discusses hot topics in the EB field and outlines the effort to provide these deliverables to the community.    


# Sector 001 targets observed (230)
201884716,40.1717,-54.0636,8.6,G011154
207091008,23.985,-52.4771,10.77,G011154
219984354,29.6602,-53.5278,9.25,G011154
219986286,30.0118,-51.98,9.26,G011154
219987521,30.108,-49.0706,10.1,G011154;G011060
220015845,32.3641,-49.5538,10.87,G011154
229158472,29.1166,-51.3744,9.65,G011154
231058899,30.7743,-55.6231,8.74,G011154
231061733,31.2506,-57.3733,8.8,G011154;G011060
257725008,30.1464,-60.1966,8.19,G011154
354606068,22.8356,-51.9749,9.07,G011154
206597904,21.0398,-59.1189,10.07,G011154
231851620,27.3056,-63.5165,8.22,G011154;G011060
231908995,6.5722,-63.2078,9.45,G011154
234491752,9.3064,-63.8199,9.51,G011154
234505545,12.1799,-61.7285,9.2,G011154
234508705,12.6023,-64.0677,7.41,G011176;G011154;G011250
237885825,20.7975,-63.1947,9.82,G011154
273792220,30.5511,-62.5917,7.45,G011154;G011048;G011250
281598578,9.1577,-59.5344,10.2,G011154
355706675,1.2916,-62.8452,7.58,G011154;G011048;G011250
425934477,4.7115,-63.0891,9.16,G011154
259901124,41.4052,-71.2359,6.21,G011154;G011048
273826483,33.1585,-65.8468,8.46,G011154
273861931,31.5388,-69.8719,11.62,G011154
273944357,32.638,-68.2829,8.63,G011154
280832953,45.2024,-66.6105,9.09,G011154
303950490,23.3447,-73.8589,8.41,G011154
304133039,28.1845,-74.7624,9.08,G011154
31653503,46.3508,-66.6843,10.82,G011154
31655792,46.572,-68.2083,9.04,G011154
31740373,48.4219,-66.4107,8.77,G011154
31742072,48.6748,-71.4862,10.04,G011154
31796120,50.7429,-70.7886,10.0,G011154
31850842,52.1536,-66.9201,10.11,G011154
31925242,53.4006,-69.0161,8.88,G011154
358069227,38.5049,-65.6095,8.86,G011154;G011250
370138769,48.5673,-74.8862,8.32,G011154
388179896,51.8985,-72.8484,9.99,G011154
50311982,30.578,-72.37,8.44,G011154
207174531,46.7551,-56.1346,10.9,G011154
207200487,47.6203,-57.3592,10.7,G011154
207236348,49.7552,-56.3888,8.88,G011154
220521199,42.0039,-62.9646,7.61,G011154
237915523,56.1865,-61.0976,8.95,G011154
237916020,56.4234,-60.7375,9.2,G011154
237920279,56.8266,-64.3281,8.33,G011154
262875307,52.6143,-60.7181,10.67,G011154
279741942,51.8203,-61.2589,7.46,G011154;G011048
364246957,62.3564,-57.65,8.5,G011154
364264531,62.3128,-56.0301,8.57,G011154
149059954,80.3488,-61.2416,8.49,G011154
149444868,84.7014,-64.093,8.43,G011154
149473467,85.2703,-61.8579,9.25,G011154
220402290,69.5794,-57.2038,11.51,G011154
220430912,73.1177,-55.697,7.93,G011154
25064731,59.9243,-66.6278,9.08,G011154
294873015,71.6035,-66.3459,10.04,G011154
30313096,74.2685,-66.5773,11.67,G011154
31108997,76.4295,-66.8491,8.36,G011154
372816629,66.9358,-58.2001,11.57,G011154
381950094,76.6884,-59.0505,8.96,G011154
382032570,78.9836,-56.4499,8.3,G011154
382069435,79.6565,-58.0533,10.28,G011154
38586438,64.0894,-62.0133,11.65,G011180;G011154
38699825,66.3975,-60.7568,8.56,G011154
38763953,67.5634,-62.2133,8.41,G011154
38908399,69.6022,-65.4095,9.17,G011154
55404385,78.0132,-65.1754,6.62,G011154;G011048
55497281,71.7183,-60.6028,7.19,G011154;G011048;G011250
141093693,79.668,-72.6943,8.23,G011154
141268467,82.514,-76.2487,7.69,G011083;G011154;G011048
141606986,88.7529,-72.693,9.79,G011154
141770299,91.859,-76.9264,9.06,G011154
179308923,79.8241,-69.6539,11.48,G011073;G011154
261105201,82.8275,-79.0084,8.31,G011154;G011048;G011250
279955276,82.1351,-68.6037,10.53,G011154
31273263,88.1037,-68.1594,10.75,G011154;G011048
32154687,59.5965,-67.5171,8.81,G011154
358457685,60.386,-78.741,8.52,G011154
142106096,99.0332,-72.7851,8.33,G011154
167007869,94.8049,-67.5982,8.47,G011154
167086201,95.7948,-67.4233,8.8,G011154
167207809,97.2086,-68.1301,8.66,G011154;G011250
176958076,101.2177,-66.6157,9.23,G011154
177236627,105.2413,-66.8006,8.53,G011154
287351976,122.6812,-72.5457,11.52,G011154
287584993,124.7472,-72.6653,10.96,G011175;G011154
300443831,111.7549,-69.5154,8.25,G011154
300654002,114.4168,-69.5423,10.18,G011154
306473635,118.8432,-71.865,8.08,G011154
306508587,118.877,-66.9956,11.45,G011154
306578324,119.2512,-66.5974,9.7,G011154
306736831,120.987,-66.8803,11.35,G011154
306772761,121.0432,-67.9158,11.96,G011154
306773020,121.0187,-67.6451,11.26,G011154
306773798,121.2248,-66.8135,11.6,G011154
307085473,123.5375,-68.0361,11.71,G011154
349059354,107.5044,-64.6187,10.95,G011154
349519544,111.2182,-63.0118,10.15,G011154
349835367,113.7454,-63.7343,10.1,G011154
349907707,114.1051,-61.8738,8.13,G011154
350028973,114.7699,-62.6646,8.4,G011154
391902612,106.5683,-76.8392,11.72,G011154
150274071,95.0193,-60.6804,10.39,G011154;G011048
150442264,97.7942,-61.8795,6.29,G011073;G011154
279570232,105.96,-58.4573,10.89,G011154
294092966,107.3481,-57.496,8.64,G011154
294273900,108.7113,-59.2679,8.87,G011154

# Sector 003 targets observed (192)
114500611,11.8169,-19.6955,10.9,G011154
268652258,17.4408,-20.2163,8.91,G011154
268686000,17.6307,-18.0678,11.57,G011154
268686130,17.7234,-18.9606,11.94,G011154
369395755,12.3644,-23.2118,6.43,G011025;G011132;G011154
