# TESS Program G06194

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Chontos, Ashley - Princeton University

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 070 targets observed (2 min: 392, 20 s: 4)
247018046,38.6421,21.692,8.24,G06194
247374593,41.0292,22.4017,9.9,G06194
247433945,42.6788,19.16,6.09,G06194
301884659,41.8012,27.9508,8.69,G06194
34712570,45.7167,25.0726,9.26,G06194
34783303,46.4504,27.686,8.0,G06194
34786681,46.5219,25.4313,8.27,G06194
34885707,47.2852,24.7683,9.41,G06194
35027553,48.7073,24.9281,8.13,G06194
381459932,37.6353,25.2345,5.48,G06194
436852072,40.8651,24.3054,8.99,G06194
436852174,40.8812,24.0226,9.51,G06194
436922073,43.2601,27.5298,8.7,G06194
52159113,40.9548,16.1034,8.0,G06194
91415280,44.1109,18.0217,5.13,G06194
91481801,44.7937,19.9897,6.98,G06200;G06194;G06148;20SECONDTARGET
91516910,45.2957,19.4026,7.97,G06194
113675409,25.305,22.4679,8.67,G06194
113675415,25.3103,22.4556,10.17,G06194
118295536,33.9278,25.0427,5.09,G06194
150990892,24.5104,21.8858,7.38,G06194
21027611,35.7122,24.0957,8.37,G06194
246934681,34.1122,23.147,8.67,G06194
246975039,35.9118,22.6564,8.54,G06194
246982028,36.4471,20.2797,7.16,G06194
247012154,37.3237,21.5935,7.5,G06194
306341705,31.5664,20.5922,7.03,G06194
306451533,33.0651,23.9571,7.25,G06194
306486373,33.332,20.5822,7.93,G06194
404644861,28.24,15.5973,9.15,G06194
404646401,28.3092,15.4336,8.27,G06194
404647507,28.3746,12.6821,6.62,G06194
404711720,29.6986,17.0256,7.27,G06194
404738533,30.5956,14.1113,9.04,G06194
408568053,33.9824,15.8187,7.61,G06194
408671983,36.1439,15.684,8.42,G06194
408743696,36.6792,17.5978,8.18,G06194
456905162,26.2323,20.0825,5.65,G06058;G06194
456910508,26.5459,22.4485,8.46,G06194
456935909,27.1518,22.402,7.64,G06194
456937140,27.2774,21.3648,8.99,G06194
5671391,32.8504,24.5229,7.84,G06194
5724047,33.4155,25.3647,8.8,G06194
58871469,33.6796,17.6216,8.16,G06194
60922026,25.8808,22.4677,9.69,G06194
60961283,29.3083,19.2772,7.95,G06194
61014233,38.0119,18.3736,8.01,G06194
88815897,27.0865,17.0231,6.75,G06194
91252218,27.4765,22.9308,10.26,G06194
91305032,27.8844,18.5081,7.78,G06194
